lat,lng
-30.0277041,-51.2287346
-30.0413351,-51.2164962
-30.0416122,-51.2179864
-30.0429811886352,-51.2189483642578
-30.0419543,-51.2179209
-30.0423352,-51.215944
-30.0430455,-51.2168757
-30.0420812,-51.2155326
-30.0429538,-51.2169536
-30.0429673,-51.216936
-30.0407774,-51.218635
-30.0411621,-51.2165453
-30.0430055,-51.2197747
-30.0417180917655,-51.2169313430786
-30.0419204,-51.2178611
-30.0431297872082,-51.2192916870117
-30.0431874,-51.2197959
-30.0451165,-51.2154326
-30.0443948,-51.2187364
-30.042949,-51.219675
-30.0404918,-51.2188027
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.0277041,-51.2287346
-30.035842,-51.204301
-30.0354342,-51.2040935
-30.036029,-51.203856
-30.035791,-51.2042591
-30.0358796,-51.2042574
-30.0352966,-51.2042535
-30.0261207,-51.204963
-30.0419574,-51.2210194
-30.0544411,-51.2073003
-30.122322,-51.355682
-30.12768,-51.341378
-30.1191027,-51.368392
-30.122674,-51.348384
-30.124888,-51.34875
-30.122136,-51.350803
-30.1173099,-51.3145747
-30.105221,-51.313968
-30.111388,-51.29843
-30.1101636,-51.3147829
-30.109785,-51.314923
-30.109995,-51.313444
-30.108607,-51.314885
-30.110002,-51.313126
-30.1149455,-51.3150061
-30.113314,-51.315435
-30.0474357604972,-51.2121248245224
-30.04678862,-51.21209979
-30.0455719,-51.2120245
-30.0459085,-51.2106818
-30.0459288,-51.2107151
-30.0458519,-51.212915
-30.0476799,-51.2112598
-30.0464071,-51.2105952
-30.0331476,-51.2019625
-30.0343992429473,-51.2030267715454
-30.037396,-51.202533
-30.0343212,-51.2008125
-30.034736,-51.20156
-30.034161,-51.202466
-30.036214,-51.200399
-30.0306662,-51.2058521
-30.0345107015512,-51.2412643432617
-30.008387,-51.264512
-30.0368425,-51.2413969
-30.036529,-51.241509
-30.001452,-51.262172
-30.032658500852,-51.239031881567
-30.020997,-51.2554908
-30.033296,-51.2399447
-30.034447,-51.241659
-30.0332754,-51.2396223
-30.029527450657,-51.2338346242905
-30.111248,-51.313832
-30.116691,-51.313531
-30.110067,-51.313104
-30.1141169,-51.3281177
-30.112932,-51.324865
-30.122849,-51.317802
-30.109224,-51.320804
-30.111284,-51.325839
-30.118201,-51.325186
-30.1223407,-51.3581798
-30.125916,-51.347058
-30.119154,-51.340439
-30.12323,-51.341724
-30.119109,-51.340417
-30.1305574,-51.3154119
-30.132142,-51.321897
-30.131386,-51.319174
-30.131566,-51.324516
-30.137937,-51.322315
-30.125337,-51.31664
-30.033017,-51.2109384
-30.0333032,-51.2109172
-30.0346524,-51.20976
-30.0332829,-51.2109159
-30.0346139,-51.209424
-30.0330399,-51.2109396
-30.032704,-51.2097842
-30.0330459,-51.2109104
-30.0318458,-51.2089258
-30.0313032,-51.2084595
-30.0315177,-51.2084753
-30.0313747,-51.2084583
-30.0317985066025,-51.2093353271484
-30.031204,-51.208373
-30.0313032,-51.2084595
-30.031776,-51.209803
-30.0313032,-51.2084595
-30.03113881,-51.20979398
-30.0346502,-51.1987226
-30.0329272,-51.1984744
-30.032531,-51.200153
-30.034503,-51.199905
-30.03337,-51.197143
-30.03371,-51.198398
-30.033871,-51.199789
-30.033132,-51.197453
-30.0313851,-51.2024361
-30.0304688,-51.2019673
-30.031184,-51.2026391
-30.031404,-51.201977
-30.031751,-51.202178
-30.0307082669143,-51.2016803026199
-30.031452,-51.202005
-30.031665,-51.20163
-30.0306095758288,-51.2014818191528
-30.0303680725227,-51.2017714977264
-30.032095,-51.20269
-30.032245,-51.201945
-30.0323119,-51.2022152
-30.032749,-51.201095
-30.0343212,-51.2008125
-30.0332873,-51.2035229
-30.034736,-51.20156
-30.0343212,-51.2008125
-30.0356948,-51.2048804
-30.091347,-51.336169
-30.0874358,-51.3422197
-30.087794,-51.340219
-30.10864,-51.341645
-30.089928,-51.338791
-30.087702,-51.339652
-30.090222,-51.33407
-30.107842,-51.335327
-30.056125,-51.231755
-30.048115,-51.230729
-30.0539397354003,-51.2300205230713
-30.0543290201149,-51.2324237823486
-30.0410865372918,-51.2408351898193
-30.03986521097,-51.2378713488579
-30.0555912,-51.2376596
-30.0573570680467,-51.2329387664795
-30.0608731,-51.2357948
-30.0555912,-51.2376596
-30.106355,-51.241108
-30.106715,-51.244646
-30.1077282,-51.2462255
